feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
12522|Toh Dahstini Wash|Stream|Colorado|08|Montezuma|083|Yellow Rock Point East|10/13/1978||Official|Board Decision|01/01/1983|370035N|1090235W|37.0097198|-109.0431593|365528N|1091100W|36.9244436|-109.1834384
12550|Tohache Wash|Stream|Arizona|04|Apache|001|Yellow Rock Point East|02/08/1980|06/15/2009||||370002N|1090139W|37.0005556|-109.0275|365523N|1090500W|36.9230542|-109.083436
45730|Colorado River|Stream|Baja California Norte|02|Not Determined|000||02/08/1980|08/13/2019|Official|Board Decision|01/01/1952|315400N|1145703W|31.9|-114.9508333|402820N|1054934W|40.4722056|-105.8261216
78956|Arkansas River|Stream|Arkansas|05|Desha|041|Rosedale|04/30/1980|08/13/2019|Official|Board Decision|01/01/1959|334630N|0910415W|33.7751096|-91.0709427|391530N|1062038W|39.2583225|-106.3439141
169341|Pinyon Creek|Stream|Colorado|08|Pueblo|101|Pinon|07/01/1990|04/01/2011|Official|Board Decision|01/01/1927|382430N|1043602W|38.4083339|-104.6005282|382430N|1043602W|38.4083339|-104.6005282
169342|Pinnacle Ridge|Ridge|Colorado|08|Hinsdale|053|Courthouse Mountain|07/01/1990|08/11/2021|Official|Board Decision|01/01/1906|380802N|1073009W|38.1338705|-107.5023717|||0.0|0.0
169344|Hidden Brook|Stream|Colorado|08|Boulder|013|Allenspark|08/01/1990|03/15/2007|Official|Board Decision|01/01/1911|401448N|1053208W|40.2466513|-105.5355555|401535N|1053357W|40.2596|-105.5658
169345|Wulsten Baldy|Summit|Colorado|08|Custer|027|Electric Peak|08/01/1990|06/13/2019|Official|Board Decision|01/01/1970|381445N|1054421W|38.2458876|-105.7390608|||0.0|0.0
169346|Barnes Ridge|Ridge|Colorado|08|Garfield|045|Cutoff Gulch|08/01/1990|04/09/2020|Official|Board Decision|01/01/1975|393925N|1081038W|39.6570726|-108.1773503|||0.0|0.0
169347|V Rock|Cliff|Colorado|08|Archuleta|007|Chromo|08/01/1990||Official|Board Decision|01/01/1932|370728N|1064738W|37.1244538|-106.7939245|||0.0|0.0
169348|Rio Grande Palisades|Cliff|Colorado|08|Mineral|079|South Fork West|12/01/1989||Official|Board Decision|01/01/1981|374330N|1064232W|37.7250033|-106.7089312|||0.0|0.0
169349|C J Lateral|Canal|Colorado|08|Montrose|085|Montrose West|04/01/1990||Official|Board Decision|01/01/1979|382724N|1075413W|38.4566535|-107.9036748|||0.0|0.0
169350|Pheney Lateral Ditch|Canal|Colorado|08|Grand|049|Junction Butte|04/01/1990||Official|Board Decision|01/01/1979|400230N|1061810W|40.0416521|-106.3028059|||0.0|0.0
169351|Frosty Park|Flat|Colorado|08|Teller|119|Manitou Springs|04/01/1990||Official|Board Decision|01/01/1979|384520N|1045737W|38.755543|-104.9602508|||0.0|0.0
169352|Elk Park|Flat|Colorado|08|Teller|119|Pikes Peak|04/01/1990||Official|Board Decision|01/01/1979|384545N|1050007W|38.762486|-105.001918|||0.0|0.0
169353|Pueblo Reservoir|Reservoir|Colorado|08|Pueblo|101|Swallows|11/01/1992|10/25/2018||||381603N|1044505W|38.2676212|-104.7513918|||0.0|0.0
169356|Erie Canal|Canal|Colorado|08|Mesa|077|Vega Reservoir|05/01/1991|07/16/2020||||391356N|1074648W|39.2323219|-107.7800846|||0.0|0.0
169358|Slumgullion Slide|Slope|Colorado|08|Hinsdale|053|Lake San Cristobal|02/01/1991|08/21/2015||||375921N|1071548W|37.9891412|-107.2632836|||0.0|0.0
169363|Heeney|Populated Place|Colorado|08|Summit|117|Mount Powell|11/01/2023|11/01/2023||||395221N|1061804W|39.8724857|-106.3011389|||0.0|0.0
169376|Limestone Ridge|Ridge|Colorado|08|Chaffee|015|Buena Vista East|11/01/1991|04/03/2020||||385158N|1060118W|38.8662234|-106.0216663|||0.0|0.0
169377|Crystal Reservoir|Reservoir|Colorado|08|Montrose|085|Cimarron|11/01/1991|08/13/2019||||382949N|1073612W|38.4970114|-107.6032136|||0.0|0.0
169379|Echo Ditch|Canal|Colorado|08|Archuleta|007|Serviceberry Mountain|11/01/1991|||||371359N|1065525W|37.2330621|-106.9236485|||0.0|0.0
169393|Big Lick Reservoir|Lake|Colorado|08|Rio Blanco|103|Sawmill Mountain|12/01/1991|02/11/2019||||400036N|1073733W|40.0100321|-107.6258455|||0.0|0.0
169399|North Michigan Creek Reservoir|Reservoir|Colorado|08|Jackson|057|Clark Peak|12/01/1991|02/04/2019||||403315N|1055945W|40.5542884|-105.9959049|||0.0|0.0
169421|Pioneer Ditch|Stream|Colorado|08|Chaffee|015|Nathrop|07/01/1992|||||383815N|1060536W|38.6374968|-106.0933498|384015N|1060840W|38.67083|-106.1444625
169432|Meadow Creek Reservoir|Reservoir|Colorado|08|Grand|049|Monarch Lake|09/01/1992|02/06/2019||||400317N|1054447W|40.0546593|-105.7464765|||0.0|0.0
169439|Peak Seven West|Populated Place|Colorado|08|Summit|117|Breckenridge|07/01/1993|06/07/2022||||393000N|1060350W|39.499951|-106.063806|||0.0|0.0
169440|Gunbarrel|Populated Place|Colorado|08|Boulder|013|Niwot|07/01/1993|06/07/2022||||400356N|1051115W|40.065482|-105.187523|||0.0|0.0
